"Step","experiment_12 - Training Accuracy / Epoch","experiment_12 - Training Accuracy / Epoch__MIN","experiment_12 - Training Accuracy / Epoch__MAX","experiment_11 - Training Accuracy / Epoch","experiment_11 - Training Accuracy / Epoch__MIN","experiment_11 - Training Accuracy / Epoch__MAX","experiment_10 - Training Accuracy / Epoch","experiment_10 - Training Accuracy / Epoch__MIN","experiment_10 - Training Accuracy / Epoch__MAX","experiment_9 - Training Accuracy / Epoch","experiment_9 - Training Accuracy / Epoch__MIN","experiment_9 - Training Accuracy / Epoch__MAX","experiment_8 - Training Accuracy / Epoch","experiment_8 - Training Accuracy / Epoch__MIN","experiment_8 - Training Accuracy / Epoch__MAX","experiment_7 - Training Accuracy / Epoch","experiment_7 - Training Accuracy / Epoch__MIN","experiment_7 - Training Accuracy / Epoch__MAX","experiment_6 - Training Accuracy / Epoch","experiment_6 - Training Accuracy / Epoch__MIN","experiment_6 - Training Accuracy / Epoch__MAX","experiment_5 - Training Accuracy / Epoch","experiment_5 - Training Accuracy / Epoch__MIN","experiment_5 - Training Accuracy / Epoch__MAX","experiment_4 - Training Accuracy / Epoch","experiment_4 - Training Accuracy / Epoch__MIN","experiment_4 - Training Accuracy / Epoch__MAX","experiment_3 - Training Accuracy / Epoch","experiment_3 - Training Accuracy / Epoch__MIN","experiment_3 - Training Accuracy / Epoch__MAX"
"281","16.104","16.104","16.104","16.428","16.428","16.428","16.07","16.07","16.07","15.694","15.694","15.694","15.924","15.924","15.924","16.704","16.704","16.704","15.696","15.696","15.696","14.836","14.836","14.836","14.704","14.704","14.704","15.852","15.852","15.852"
"287","16.34","16.34","16.34","16.714","16.714","16.714","16.176","16.176","16.176","15.976","15.976","15.976","16.224","16.224","16.224","17.046","17.046","17.046","15.686","15.686","15.686","14.82","14.82","14.82","14.862","14.862","14.862","16.144","16.144","16.144"
"293","16.562","16.562","16.562","16.842","16.842","16.842","16.258","16.258","16.258","16.14","16.14","16.14","16.29","16.29","16.29","17.086","17.086","17.086","16.242","16.242","16.242","15.078","15.078","15.078","15.188","15.188","15.188","16.484","16.484","16.484"
"299","16.786","16.786","16.786","16.928","16.928","16.928","16.406","16.406","16.406","16.276","16.276","16.276","16.514","16.514","16.514","17.38","17.38","17.38","16.26","16.26","16.26","15.292","15.292","15.292","15.526","15.526","15.526","16.492","16.492","16.492"
"305","16.894","16.894","16.894","17.08","17.08","17.08","16.496","16.496","16.496","16.508","16.508","16.508","16.678","16.678","16.678","17.534","17.534","17.534","16.496","16.496","16.496","15.5","15.5","15.5","15.844","15.844","15.844","16.694","16.694","16.694"
"311","17.136","17.136","17.136","17.416","17.416","17.416","16.824","16.824","16.824","16.526","16.526","16.526","16.888","16.888","16.888","17.884","17.884","17.884","16.576","16.576","16.576","15.678","15.678","15.678","15.888","15.888","15.888","16.87","16.87","16.87"
"317","17.354","17.354","17.354","17.576","17.576","17.576","16.856","16.856","16.856","16.668","16.668","16.668","17.068","17.068","17.068","17.916","17.916","17.916","16.806","16.806","16.806","15.782","15.782","15.782","16.014","16.014","16.014","16.872","16.872","16.872"
"323","17.396","17.396","17.396","17.736","17.736","17.736","17.098","17.098","17.098","16.87","16.87","16.87","17.286","17.286","17.286","18.136","18.136","18.136","16.968","16.968","16.968","16.136","16.136","16.136","16.36","16.36","16.36","17.124","17.124","17.124"
"329","17.784","17.784","17.784","17.88","17.88","17.88","17.016","17.016","17.016","17.158","17.158","17.158","17.392","17.392","17.392","18.314","18.314","18.314","17.074","17.074","17.074","16.186","16.186","16.186","16.526","16.526","16.526","17.55","17.55","17.55"
"335","17.886","17.886","17.886","18.136","18.136","18.136","17.176","17.176","17.176","17.212","17.212","17.212","17.638","17.638","17.638","18.422","18.422","18.422","17.33","17.33","17.33","16.286","16.286","16.286","16.6","16.6","16.6","17.504","17.504","17.504"
"341","18.154","18.154","18.154","18.132","18.132","18.132","17.486","17.486","17.486","17.378","17.378","17.378","17.804","17.804","17.804","18.734","18.734","18.734","17.466","17.466","17.466","16.502","16.502","16.502","17.01","17.01","17.01","17.802","17.802","17.802"
